date,tavg,tmin,tmax,prcp,snow,humidity,wdir,wspd,wpgt,pres,tsun,location_name,location_key,latitude,longitude,elevation_m
2018-01-01,3.09,-2.12,10.68,0.0,,31.84,,4.752000000000001,9.792000000000002,789.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-02,2.61,-1.57,10.05,0.0,,29.43,,4.788,10.908,789.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-03,2.76,-0.31,8.6,0.0,,29.78,,4.068,9.0,789.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-04,0.51,-2.75,4.22,1.47,,49.42,,3.06,6.336,788.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-05,-1.57,-4.16,1.68,1.09,,70.63,,3.096,6.156,788.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-06,-0.64,-4.57,5.6,0.0,,48.39,,4.5,7.632000000000001,788.9,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-07,1.46,-3.41,8.19,0.0,,36.83,,4.680000000000001,7.956,789.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-08,1.98,-2.67,8.89,0.0,,35.3,,5.04,9.036,790.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-09,2.11,-2.68,8.95,0.0,,39.3,,5.04,8.316,793.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-10,2.47,-2.91,9.93,0.0,,40.34,,5.4,7.956,794.2,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-11,3.76,-0.81,9.95,0.0,,33.74,,4.752000000000001,8.28,792.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-12,4.02,-1.03,12.15,0.0,,28.54,,4.644,8.1,791.9,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-13,4.47,0.63,10.86,0.0,,26.68,,4.248,9.107999999999999,791.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-14,3.92,-1.02,9.39,0.0,,30.13,,4.644,10.152,791.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-15,2.98,-3.86,11.27,0.0,,23.54,,4.788,8.172,792.6,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-16,3.74,0.13,9.11,0.0,,24.08,,3.9600000000000004,7.092,788.9,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-17,0.96,-3.43,4.15,0.37,,53.69,,4.284,9.107999999999999,789.0999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-18,1.72,-3.82,9.09,0.0,,49.51,,4.572,8.064000000000002,793.1,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-19,3.37,-1.81,10.75,0.0,,33.98,,5.256,8.28,792.6999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-20,4.64,-3.32,15.29,0.0,,27.0,,5.867999999999999,10.908,793.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-21,5.26,-1.63,14.62,0.0,,25.45,,5.760000000000001,10.08,790.4000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-22,4.53,0.14,11.13,0.0,,26.88,,4.824000000000001,9.864,788.1999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-23,3.26,-0.58,9.74,0.0,,31.89,,4.14,11.556000000000001,786.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-24,2.41,-1.46,9.11,0.0,,34.27,,4.644,11.556000000000001,787.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-25,2.83,-0.93,8.74,0.0,,35.28,,4.14,10.548,786.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-26,1.49,-2.14,7.48,0.0,,40.6,,4.788,12.168,788.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-27,0.99,-2.84,6.25,0.0,,45.44,,4.104,9.360000000000001,788.1999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-28,2.26,-0.4,6.95,0.0,,39.19,,3.3120000000000003,9.828,789.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-29,0.11,-2.41,3.45,1.52,,74.8,,3.6,8.136,791.4,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-30,1.27,-2.42,7.44,0.93,,70.91,,3.9960000000000004,8.604000000000001,792.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-01-31,0.18,-2.89,4.4,1.78,,75.35,,3.8160000000000003,6.156,790.4000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-01,1.16,-3.64,7.85,0.37,,62.96,,4.5360000000000005,8.928,791.2,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-02,2.25,-3.25,8.8,0.0,,48.75,,5.148,8.82,788.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-03,1.67,-3.44,6.48,0.0,,48.33,,4.86,11.376000000000001,790.6,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-04,0.86,-5.92,9.39,0.0,,35.04,,5.184,8.676,791.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-05,1.91,-2.96,8.81,0.0,,27.34,,5.472,10.512,792.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-06,1.77,-2.32,7.96,0.0,,29.98,,4.572,7.668,792.6,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-07,2.62,-1.58,8.39,0.0,,25.28,,5.004,10.188,789.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-08,1.69,-3.39,8.47,0.0,,28.65,,5.508,10.548,788.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-09,2.19,-3.53,7.95,0.0,,29.1,,4.6080000000000005,7.452,789.0999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-10,0.74,-2.41,5.28,1.0,,58.64,,3.672,11.808,791.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-11,0.9,-2.78,5.83,1.65,,74.4,,4.212,7.848000000000001,791.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-12,-0.71,-2.37,2.83,31.83,,94.99,,5.364,12.6,788.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-13,-1.51,-3.54,0.88,12.29,,91.34,,2.052,3.9240000000000004,795.4000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-14,-0.97,-7.3,4.29,0.1,,71.23,,4.32,6.408,796.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-15,2.61,-1.4,8.01,0.01,,71.28,,3.564,5.796,794.9,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-16,3.67,-1.8,9.71,0.0,,62.83,,4.248,5.976,794.3000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-17,2.27,-5.18,11.07,0.0,,35.0,,5.184,8.964,790.9000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-18,2.3,-6.89,11.09,0.0,,32.31,,5.184,9.036,789.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-19,4.94,-3.08,12.83,0.0,,37.08,,4.896000000000001,6.444,792.0999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-20,6.05,0.12,13.73,4.06,,56.04,,4.572,7.344,791.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-21,5.07,0.57,10.25,1.21,,70.0,,3.9960000000000004,8.352,790.9000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-22,4.49,-1.96,11.02,0.0,,55.23,,5.04,8.028,790.1999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-23,5.89,-1.76,13.53,0.27,,57.05,,5.076,8.712,790.6999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-24,1.5,0.03,3.35,4.39,,89.65,,5.184,6.984,791.1,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-25,5.59,0.9,11.53,1.41,,68.87,,4.572,10.764000000000001,794.3000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-26,6.93,2.77,12.58,1.21,,70.73,,4.248,7.74,793.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-27,7.52,1.53,13.64,0.45,,67.4,,5.112,8.784,791.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-02-28,8.6,5.28,13.41,0.0,,63.16,,5.076,11.016,792.2,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-01,6.11,1.62,10.01,10.37,,81.55,,5.652,12.276000000000002,790.1999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-02,4.36,1.23,7.75,22.36,,93.05,,7.164,16.812,787.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-03,4.35,0.97,7.87,2.25,,86.48,,4.428,10.512,788.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-04,4.21,-1.31,10.16,0.0,,64.0,,4.968,9.072000000000001,788.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-05,4.51,-1.03,9.78,0.04,,59.05,,4.284,6.6240000000000006,791.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-06,6.2,-2.54,14.36,0.0,,43.04,,4.788,8.172,792.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-07,7.87,-0.68,16.0,0.0,,37.45,,5.688000000000001,10.476,791.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-08,8.4,3.77,14.33,0.16,,47.79,,5.112,12.636,792.9000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-09,5.67,0.93,11.42,0.91,,73.96,,6.6240000000000006,10.404,793.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-10,8.16,3.01,14.5,0.0,,58.74,,4.932,9.864,793.1999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-11,9.23,1.78,16.43,0.0,,53.08,,5.472,10.188,791.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-12,8.83,4.39,13.35,4.25,,70.67,,4.176,9.18,792.0999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-13,8.12,4.54,13.11,19.74,,79.19,,6.156,15.336,790.6999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-14,4.52,1.56,8.69,11.18,,82.92,,3.8520000000000003,8.172,789.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-15,5.28,1.35,9.46,0.08,,72.19,,5.724,12.312,788.7,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-16,5.73,0.39,11.14,0.01,,64.65,,4.464,7.992000000000001,790.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-17,7.54,0.82,15.02,0.0,,47.8,,5.256,10.584,790.8,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-18,9.11,3.24,16.38,0.0,,43.97,,5.4,10.26,792.4,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-19,9.17,4.61,14.16,0.0,,52.02,,4.104,7.164,794.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-20,9.0,2.42,15.99,0.0,,57.24,,5.292,8.712,792.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-21,9.12,4.9,14.81,0.01,,59.98,,4.788,8.46,790.0,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-22,8.7,4.41,14.03,0.26,,66.99,,4.896000000000001,11.412,790.1,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-23,9.42,4.15,14.99,0.01,,59.59,,5.076,11.052,790.6999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-24,10.39,3.46,17.99,0.0,,51.14,,5.256,9.576,794.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-25,12.37,3.86,22.04,0.0,,35.24,,5.184,8.136,796.3,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-26,13.73,4.73,22.74,0.0,,35.62,,5.6160000000000005,10.584,794.5999999999999,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-27,12.58,7.55,17.33,0.0,,48.38,,4.356,8.568,791.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-28,12.0,4.45,18.88,0.0,,49.57,,5.328,9.324,792.5,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-29,12.31,3.83,20.08,0.0,,36.19,,6.336,9.648000000000001,791.9,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
2018-03-30,14.45,4.69,23.68,0.0,,30.12,,5.364,11.34,791.8000000000001,,"Swat District, Khyber Pakhtunkhwa",swat,34.8091,72.3617,980.0
