date,tavg,tmin,tmax,prcp,snow,humidity,wdir,wspd,wpgt,pres,tsun,location_name,location_key,latitude,longitude,elevation_m
2018-01-01,-3.6,-10.84,3.69,0.0,,35.0,,3.672,9.576,713.9,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-02,-4.18,-11.31,4.54,0.0,,37.52,,4.6080000000000005,9.648000000000001,713.4000000000001,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-03,-2.9,-7.17,2.91,0.0,,36.68,,3.744,8.424,713.1999999999999,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-04,-4.83,-7.63,-2.32,1.52,,57.32,,3.204,8.172,711.7,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-05,4.5,-10.12,9.8,4.1,,81.11,,3.9960000000000004,9.360000000000001,711.4,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-06,-6.84,-12.78,0.39,0.0,,62.74,,4.14,7.452,712.0,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-07,-4.31,-11.32,2.06,0.0,,42.86,,3.456,7.884,713.6,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-08,-3.16,-9.04,2.07,0.0,,44.16,,3.8520000000000003,7.992000000000001,714.7,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-09,-3.08,-5.46,0.35,0.0,,56.07,,3.564,8.496,717.4,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-10,-2.39,-5.34,2.42,0.0,,50.76,,4.212,9.144,718.0,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-11,-2.73,-6.9,3.66,0.0,,45.15,,4.5,9.360000000000001,716.7,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-12,-2.84,-10.29,4.73,0.0,,38.75,,3.9240000000000004,9.288,716.3,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
2018-01-13,-2.2,-7.2,4.66,0.0,,38.82,,4.680000000000001,10.152,715.9000000000001,,"Upper Dir District, Khyber Pakhtunkhwa",upper_dir,35.335,71.876,1420.0
