date,location_key,location_id,location_name,latitude,longitude,elevation_m,tavg,tmin,tmax,prcp,snow,wspd,wpgt,pres,tsun,humidity,solar_radiation,flood_event,flood_severity,damages_inr_crore,warnings,source_url,notes
2018-01-01,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.09,-2.12,10.68,0.0,,4.752000000000001,9.792000000000002,789.8000000000001,,31.84,12.95,0,,,,,
2018-01-01,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.6,-10.84,3.69,0.0,,3.672,9.576,713.9,,35.0,11.97,0,,,,,
2018-01-02,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.61,-1.57,10.05,0.0,,4.788,10.908,789.5999999999999,,29.43,12.19,0,,,,,
2018-01-02,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.18,-11.31,4.54,0.0,,4.6080000000000005,9.648000000000001,713.4000000000001,,37.52,11.49,0,,,,,
2018-01-03,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.76,-0.31,8.6,0.0,,4.068,9.0,789.5,,29.78,12.67,0,,,,,
2018-01-03,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.9,-7.17,2.91,0.0,,3.744,8.424,713.1999999999999,,36.68,10.22,0,,,,,
2018-01-04,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.51,-2.75,4.22,1.47,,3.06,6.336,788.8,,49.42,5.76,0,,,,,
2018-01-04,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.83,-7.63,-2.32,1.52,,3.204,8.172,711.7,,57.32,6.05,0,,,,,
2018-01-05,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.57,-4.16,1.68,1.09,,3.096,6.156,788.7,,70.63,7.67,0,,,,,
2018-01-05,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,4.5,-10.12,9.8,4.1,,3.9960000000000004,9.360000000000001,711.4,,81.11,6.24,0,,,,,
2018-01-06,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.64,-4.57,5.6,0.0,,4.5,7.632000000000001,788.9,,48.39,12.81,0,,,,,
2018-01-06,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.84,-12.78,0.39,0.0,,4.14,7.452,712.0,,62.74,10.52,0,,,,,
2018-01-07,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.46,-3.41,8.19,0.0,,4.680000000000001,7.956,789.7,,36.83,13.26,0,,,,,
2018-01-07,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.31,-11.32,2.06,0.0,,3.456,7.884,713.6,,42.86,12.07,0,,,,,
2018-01-08,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.98,-2.67,8.89,0.0,,5.04,9.036,790.8,,35.3,13.13,0,,,,,
2018-01-08,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.16,-9.04,2.07,0.0,,3.8520000000000003,7.992000000000001,714.7,,44.16,11.33,0,,,,,
2018-01-09,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.11,-2.68,8.95,0.0,,5.04,8.316,793.8,,39.3,12.99,0,,,,,
2018-01-09,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.08,-5.46,0.35,0.0,,3.564,8.496,717.4,,56.07,8.24,0,,,,,
2018-01-10,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.47,-2.91,9.93,0.0,,5.4,7.956,794.2,,40.34,12.96,0,,,,,
2018-01-10,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.39,-5.34,2.42,0.0,,4.212,9.144,718.0,,50.76,9.11,0,,,,,
2018-01-11,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.76,-0.81,9.95,0.0,,4.752000000000001,8.28,792.5,,33.74,10.51,0,,,,,
2018-01-11,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.73,-6.9,3.66,0.0,,4.5,9.360000000000001,716.7,,45.15,9.77,0,,,,,
2018-01-12,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,4.02,-1.03,12.15,0.0,,4.644,8.1,791.9,,28.54,14.05,0,,,,,
2018-01-12,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.84,-10.29,4.73,0.0,,3.9240000000000004,9.288,716.3,,38.75,12.55,0,,,,,
2018-01-13,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,4.47,0.63,10.86,0.0,,4.248,9.107999999999999,791.5,,26.68,13.44,0,,,,,
2018-01-13,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.2,-7.2,4.66,0.0,,4.680000000000001,10.152,715.9000000000001,,38.82,11.16,0,,,,,
2018-01-14,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.92,-1.02,9.39,0.0,,4.644,10.152,791.7,,30.13,13.6,0,,,,,
2018-01-14,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.72,-7.07,1.34,0.0,,3.2760000000000002,5.796,716.1,,37.18,9.87,0,,,,,
2018-01-15,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.98,-3.86,11.27,0.0,,4.788,8.172,792.6,,23.54,13.83,0,,,,,
2018-01-15,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.15,-11.37,4.51,0.0,,5.076,9.828,716.8000000000001,,32.45,12.31,0,,,,,
2018-01-16,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.74,0.13,9.11,0.0,,3.9600000000000004,7.092,788.9,,24.08,12.47,0,,,,,
2018-01-16,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.08,-6.55,2.21,0.0,,4.932,11.952,713.0,,33.34,8.82,0,,,,,
2018-01-17,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.96,-3.43,4.15,0.37,,4.284,9.107999999999999,789.0999999999999,,53.69,5.19,0,,,,,
2018-01-17,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.04,-8.78,-4.17,0.85,,4.464,10.944,712.3000000000001,,79.01,3.87,0,,,,,
2018-01-18,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.72,-3.82,9.09,0.0,,4.572,8.064000000000002,793.1,,49.51,12.47,0,,,,,
2018-01-18,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.96,-10.57,1.42,0.0,,4.32,8.748000000000001,716.7,,61.29,7.75,0,,,,,
2018-01-19,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.37,-1.81,10.75,0.0,,5.256,8.28,792.6999999999999,,33.98,13.46,0,,,,,
2018-01-19,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-2.49,-6.59,3.79,0.0,,4.32,8.496,716.8000000000001,,40.9,12.53,0,,,,,
2018-01-20,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,4.64,-3.32,15.29,0.0,,5.867999999999999,10.908,793.0,,27.0,14.49,0,,,,,
2018-01-20,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-1.77,-10.48,8.02,0.0,,5.256,12.132000000000001,718.1999999999999,,32.9,12.87,0,,,,,
2018-01-21,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.26,-1.63,14.62,0.0,,5.760000000000001,10.08,790.4000000000001,,25.45,14.55,0,,,,,
2018-01-21,upper_dir,1,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.85,-7.65,7.81,0.0,,5.688000000000001,11.916,715.6,,29.97,12.89,0,,,,,
2018-01-22,swat,0,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,4.53,0.14,11.13,0.0,,4.824000000000001,9.864,788.1999999999999,,26.88,14.34,0,,,,,
