nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,humidity,nasa_pres,solar_radiation,date,location_key,location_name,latitude,longitude,elevation_m
3.09,-2.12,10.68,0.0,1.32,2.72,31.84,78.98,12.95,2018-01-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-3.6,-10.84,3.69,0.0,1.02,2.66,35.0,71.39,11.97,2018-01-01,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
2.61,-1.57,10.05,0.0,1.33,3.03,29.43,78.96,12.19,2018-01-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-4.18,-11.31,4.54,0.0,1.28,2.68,37.52,71.34,11.49,2018-01-02,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
2.76,-0.31,8.6,0.0,1.13,2.5,29.78,78.95,12.67,2018-01-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-2.9,-7.17,2.91,0.0,1.04,2.34,36.68,71.32,10.22,2018-01-03,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
0.51,-2.75,4.22,1.47,0.85,1.76,49.42,78.88,5.76,2018-01-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-4.83,-7.63,-2.32,1.52,0.89,2.27,57.32,71.17,6.05,2018-01-04,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-1.57,-4.16,1.68,1.09,0.86,1.71,70.63,78.87,7.67,2018-01-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-7.27,-10.12,-3.15,0.76,1.11,2.6,81.11,71.14,6.24,2018-01-05,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.64,-4.57,5.6,0.0,1.25,2.12,48.39,78.89,12.81,2018-01-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-6.84,-12.78,0.39,0.0,1.15,2.07,62.74,71.2,10.52,2018-01-06,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
1.46,-3.41,8.19,0.0,1.3,2.21,36.83,78.97,13.26,2018-01-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-4.31,-11.32,2.06,0.0,0.96,2.19,42.86,71.36,12.07,2018-01-07,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
1.98,-2.67,8.89,0.0,1.4,2.51,35.3,79.08,13.13,2018-01-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-3.16,-9.04,2.07,0.0,1.07,2.22,44.16,71.47,11.33,2018-01-08,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
