nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,humidity,nasa_pres,solar_radiation,date,location_key,location_name,latitude,longitude,elevation_m
3.09,-2.12,10.68,0.0,1.32,2.72,31.84,78.98,12.95,2018-01-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.61,-1.57,10.05,0.0,1.33,3.03,29.43,78.96,12.19,2018-01-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.76,-0.31,8.6,0.0,1.13,2.5,29.78,78.95,12.67,2018-01-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.51,-2.75,4.22,1.47,0.85,1.76,49.42,78.88,5.76,2018-01-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.57,-4.16,1.68,1.09,0.86,1.71,70.63,78.87,7.67,2018-01-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.64,-4.57,5.6,0.0,1.25,2.12,48.39,78.89,12.81,2018-01-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.46,-3.41,8.19,0.0,1.3,2.21,36.83,78.97,13.26,2018-01-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.98,-2.67,8.89,0.0,1.4,2.51,35.3,79.08,13.13,2018-01-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.11,-2.68,8.95,0.0,1.4,2.31,39.3,79.38,12.99,2018-01-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.47,-2.91,9.93,0.0,1.5,2.21,40.34,79.42,12.96,2018-01-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.76,-0.81,9.95,0.0,1.32,2.3,33.74,79.25,10.51,2018-01-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.02,-1.03,12.15,0.0,1.29,2.25,28.54,79.19,14.05,2018-01-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.47,0.63,10.86,0.0,1.18,2.53,26.68,79.15,13.44,2018-01-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.92,-1.02,9.39,0.0,1.29,2.82,30.13,79.17,13.6,2018-01-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.98,-3.86,11.27,0.0,1.33,2.27,23.54,79.26,13.83,2018-01-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.74,0.13,9.11,0.0,1.1,1.97,24.08,78.89,12.47,2018-01-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
