nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,humidity,nasa_pres,solar_radiation,date,location_key,location_name,latitude,longitude,elevation_m
-0.52,-6.76,7.15,0.0,1.12,2.06,37.81,71.73,12.28,2000-01-01,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
0.11,-5.63,7.85,0.0,1.09,1.94,35.78,71.72,12.31,2000-01-02,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
0.31,-6.81,8.84,0.0,1.12,2.5,32.04,71.57,12.46,2000-01-03,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.08,-5.95,7.83,0.0,1.17,2.24,31.59,71.49,12.48,2000-01-04,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.41,-5.33,5.89,0.0,1.11,2.37,34.97,71.61,12.33,2000-01-05,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.54,-3.62,4.99,0.0,1.03,2.06,41.26,71.58,11.73,2000-01-06,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-1.35,-3.36,2.93,0.0,1.27,3.17,54.23,71.49,3.82,2000-01-07,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-3.32,-6.84,1.64,0.0,1.38,3.43,65.09,71.3,4.57,2000-01-08,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.14,-7.64,-1.97,0.05,1.28,2.74,80.21,71.07,4.75,2000-01-09,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.37,-9.15,-0.65,0.01,1.23,2.9,65.11,71.22,6.14,2000-01-10,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.37,-6.69,-3.37,0.42,1.25,2.84,85.97,71.07,4.0,2000-01-11,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.71,-6.6,-0.78,1.43,1.12,2.64,87.48,70.78,3.08,2000-01-12,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.62,-7.71,-2.58,2.55,1.61,3.46,86.44,70.56,2.96,2000-01-13,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-7.48,-9.46,-4.73,0.0,1.13,2.6,79.44,70.59,9.34,2000-01-14,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-8.67,-11.2,-5.43,0.0,0.89,1.76,68.0,70.88,7.85,2000-01-15,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-8.85,-13.77,-3.34,0.0,1.26,2.32,49.16,71.34,6.07,2000-01-16,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.15,-12.08,0.02,0.0,1.35,2.72,48.63,71.63,9.11,2000-01-17,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.55,-7.12,-1.63,0.01,1.27,2.77,85.53,71.68,4.16,2000-01-18,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.22,-7.58,0.42,0.0,0.89,1.81,68.69,71.39,9.22,2000-01-19,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.56,-12.2,3.27,0.0,1.35,2.42,35.6,71.16,10.51,2000-01-20,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.08,-10.17,2.33,0.0,1.51,3.16,41.93,71.18,11.44,2000-01-21,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.17,-8.58,0.86,0.0,1.18,2.77,67.05,71.4,10.32,2000-01-22,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.44,-9.36,1.15,0.1,1.16,2.73,69.48,71.43,11.0,2000-01-23,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.9,-7.03,-2.46,0.07,1.16,2.35,79.35,71.41,9.02,2000-01-24,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.12,-6.87,-2.24,0.03,1.71,4.56,88.78,71.37,9.63,2000-01-25,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.59,-8.93,-0.92,0.0,1.19,2.87,72.39,71.49,8.65,2000-01-26,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.94,-12.03,1.01,0.0,1.26,2.37,53.85,71.58,10.15,2000-01-27,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-3.86,-11.14,3.69,0.0,1.1,2.61,38.24,71.73,11.24,2000-01-28,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.6,-8.59,7.54,0.0,1.3,2.6,43.18,71.82,13.26,2000-01-29,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-0.24,-4.74,6.03,0.09,1.7,3.78,53.08,71.67,8.03,2000-01-30,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-4.45,-5.98,-2.86,6.14,1.24,2.64,85.28,71.15,2.94,2000-01-31,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.9,-9.8,-3.06,8.08,0.93,1.96,78.02,70.97,7.86,2000-02-01,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-7.91,-13.38,-2.96,0.09,1.34,2.48,72.14,71.18,7.95,2000-02-02,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.74,-9.11,-3.61,0.0,1.32,3.17,76.92,71.4,9.96,2000-02-03,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.64,-9.13,-1.11,0.07,0.97,1.96,67.35,71.14,11.41,2000-02-04,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.58,-14.6,2.48,0.0,1.22,3.25,44.57,70.94,12.87,2000-02-05,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.29,-11.97,1.75,0.0,1.29,2.64,42.79,71.23,12.75,2000-02-06,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.42,-12.18,1.71,0.0,1.51,3.13,48.99,71.27,13.21,2000-02-07,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.95,-10.76,-2.23,0.0,1.41,2.87,67.75,71.14,14.13,2000-02-08,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.41,-8.1,-3.77,2.99,1.98,4.43,90.17,70.96,4.35,2000-02-09,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.63,-10.31,-2.8,0.41,1.15,2.67,77.85,70.78,10.55,2000-02-10,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-7.09,-12.43,-1.19,0.31,1.07,1.95,59.21,70.74,10.76,2000-02-11,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-7.09,-13.59,-1.18,0.09,1.15,2.11,54.92,71.04,13.01,2000-02-12,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.69,-13.57,1.59,0.0,1.14,2.62,44.03,71.33,13.39,2000-02-13,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-3.53,-11.36,3.74,0.0,1.39,2.71,39.58,71.53,15.87,2000-02-14,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-3.99,-5.98,-0.1,0.15,1.63,3.34,54.94,71.34,11.05,2000-02-15,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-5.5,-7.06,-3.21,0.01,1.76,3.36,79.17,70.9,7.04,2000-02-16,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.06,-9.08,-2.09,0.0,1.24,2.5,67.36,70.91,12.58,2000-02-17,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.9,-13.94,-0.5,0.24,1.41,3.2,54.03,70.97,14.0,2000-02-18,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.54,-12.65,-0.79,0.06,0.95,2.15,51.08,71.07,14.47,2000-02-19,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.17,-11.95,-0.1,0.41,1.37,2.91,44.47,71.07,15.74,2000-02-20,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
-6.63,-11.14,-1.51,0.22,1.41,3.47,56.5,71.18,15.81,2000-02-21,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420
