Feature,Importance
prcp_7day_avg,1.1602028825503725
temp_range,0.7859203352109266
high_humidity,0.3825791451546782
tmin,0.3113634401429866
tavg_7day_avg,0.29756074404998334
prcp,0.2975402938900016
location_encoded,0.2148677738723564
tavg,0.2148398451449609
humidity,0.19911571084305746
pres,0.1975784239911282
pressure_anomaly,0.1816342002195686
quarter,0.17056051026611257
tmax,0.1633563728386367
day_of_year,0.1260594624794086
solar_radiation,0.10882645719716336
wspd,0.06476530014421977
wspd_7day_avg,0.027026198020741413
month,0.022787123584769472
wpgt,0.002618832338679357
