Feature,Importance
prcp_7day_avg,0.25076759282387134
wspd_7day_avg,0.09769595248723642
prcp,0.08986558083657421
tavg,0.0741070997173951
tavg_7day_avg,0.07265279466995392
temp_range,0.07185989538459545
tmin,0.06275348899600164
humidity,0.056023850546055486
wspd,0.03932589432256619
solar_radiation,0.03880489138835103
tmax,0.031223481138667585
pres,0.031137144623879447
pressure_anomaly,0.02580564319548574
day_of_year,0.024827226092717303
wpgt,0.01675398186337049
high_humidity,0.005727737830962155
month,0.005665906355483989
location_encoded,0.00409459919271424
quarter,0.0009072385341183825
